"Date","Price","Open","High","Low"
"2002-09-12",2.9108,2.9108,2.9108,2.9108
"1981-01-14",2.93,2.927,2.9412000000000003,2.9238
"2003-10-24",2.783,2.783,2.783,2.783
"2011-02-23",3.3049,3.3049,3.307,3.2921
"1981-07-02",2.8663,2.8559,2.8675,2.8518
"2012-09-14",3.1361,3.1274,3.1373,3.1262
"1994-06-02",3.3258,3.3274,3.3302,3.3232
"1997-05-27",3.0987,3.0997,3.1031,3.0978000000000003
"2001-04-17",3.1078,3.1078,3.1078,3.1078
"1991-10-23",3.3161,3.3115,3.3171,3.3072
"1995-12-08",3.1321000000000003,3.1327,3.1347,3.1274
"2005-06-21",2.8983,2.8983,2.8983,2.8983
"2003-10-01",2.8003,2.8003,2.8003,2.8003
"1982-04-28",2.9114,2.9133,2.9146,2.9083
"1984-12-13",3.2237,3.2271,3.229,3.2178
"2003-03-31",2.8112,2.8112,2.8112,2.8112
"1992-08-27",3.3696,3.3857,3.3873,3.361
"2004-11-24",2.7766,2.7766,2.7766,2.7766
"2005-03-24",2.8839,2.8839,2.8839,2.8839
"1986-06-13",3.2283,3.23,3.2344,3.2271
"2004-02-05",2.7418,2.7418,2.7418,2.7418
"1988-11-04",3.4777,3.4808,3.4821,3.4762
"1990-11-22",3.4019,3.4075,3.4098,3.3994
"2000-09-27",3.115,3.115,3.115,3.115
"1988-07-12",3.3982,3.3863000000000003,3.399,3.3828
"2011-09-13",3.3733,3.3743,3.3845,3.3633
"1998-08-12",3.1806,3.1738,3.1825,3.1738
"1998-05-05",3.1364,3.1422,3.1431,3.1357
"1984-08-15",3.1885,3.197,3.198,3.1876
"2003-12-16",2.7457000000000003,2.7457000000000003,2.7457000000000003,2.7457000000000003
"2010-06-01",3.2095,3.2095,3.2277,3.201
"1985-10-25",3.3064,3.3102,3.3129,3.3064
"2012-09-07",3.1486,3.154,3.1546000000000003,3.1466000000000003
"1983-09-12",3.0323,3.03,3.0327,3.027
"1997-09-05",3.1138,3.1105,3.1146000000000003,3.108
"1991-03-25",3.2369000000000003,3.2157,3.2395,3.2153
"1997-09-30",3.065,3.0615,3.0657,3.0565
"1999-04-27",3.1657,3.1604,3.1677,3.16
"1980-09-30",2.9879,2.9865,2.9959,2.9838
"1980-12-30",2.9004,2.9072,2.9108,2.8994
"1993-06-07",3.2365,3.2401,3.2403,3.2327
"1989-06-06",3.492,3.4898,3.4965,3.4813
"1985-09-06",3.3272,3.3268,3.3304,3.3228
"1992-07-23",3.3592,3.3527,3.3668,3.3478000000000003
"1994-08-10",3.3542,3.3519,3.3582,3.3517
"1989-12-14",3.2663,3.2534,3.276,3.2525
"2010-10-22",3.1278,3.1278,3.1665,3.1269
"2005-05-13",2.9499,2.9499,2.9499,2.9499
"1996-08-01",3.1211,3.1196,3.1319,3.1151
"2009-08-12",3.217,3.217,3.2225,3.2153
"1988-02-29",3.3599,3.3602,3.3629,3.3592
"2007-10-15",3.0995,3.0995,3.1089,3.0992
"1996-05-03",3.1057,3.0993,3.1097,3.0969
"1991-04-26",3.2236,3.2185,3.2306,3.2166
"2007-01-09",3.1912000000000003,3.1912000000000003,3.194,3.1824
"1988-12-29",3.5389,3.5265,3.5396,3.5261
"2009-03-25",3.205,3.205,3.21,3.1969000000000003
"2004-07-23",2.7109,2.7109,2.7109,2.7109
"1992-01-31",3.4333,3.4217,3.4351000000000003,3.4209
"1997-10-16",3.0414000000000003,3.0536000000000003,3.0544,3.0366
"1988-06-13",3.3473,3.348,3.3509,3.346
"2012-12-19",3.1692,3.1707,3.1732,3.1684
"1997-01-24",3.1166,3.1176,3.1189,3.1153
"1989-05-08",3.5905,3.5964,3.5972,3.5841000000000003
"1987-02-05",3.2110000000000003,3.2108,3.212,3.2092
"1998-10-29",3.1888,3.1859,3.1912000000000003,3.1855
"2001-03-30",3.109,3.109,3.109,3.109
"1995-01-02",3.3733,3.3742,3.3746,3.3706
"2003-09-25",2.8061,2.8061,2.8061,2.8061
"1988-09-07",3.4657,3.4604,3.4726,3.4598
"2004-03-19",2.7214,2.7214,2.7214,2.7214
"2012-07-30",3.2028,3.2025,3.2064,3.199
"2004-05-17",2.6801,2.6801,2.6801,2.6801
"1999-03-26",3.1697,3.1778,3.1790000000000003,3.1675
"1995-02-10",3.3814,3.3821000000000003,3.3835,3.379
"2001-04-25",3.0948,3.0948,3.0948,3.0948
"1992-02-21",3.4777,3.4646,3.4796,3.4632
"1993-12-30",3.3026,3.3018,3.3032,3.2982
"2005-12-09",3.0162,3.0162,3.0199,3.0152
"2003-12-17",2.7466,2.7466,2.7466,2.7466
"1986-08-13",3.2066,3.2109,3.214,3.2048
"2005-04-19",2.9108,2.9108,2.9108,2.9108
"1985-05-30",3.2134,3.2319,3.2319,3.2132
"1999-09-29",3.4524,3.4524,3.4524,3.4524
"1986-04-25",3.2075,3.1967,3.2087000000000003,3.1957
"2000-02-28",3.4391,3.4391,3.4391,3.4391
"2003-10-13",2.7893,2.7893,2.7893,2.7893
"1987-01-22",3.2119,3.2165,3.2176,3.2077
"1996-01-24",3.0884,3.0969,3.1052,3.0856
"1987-10-06",3.3218,3.3282,3.329,3.3191
"1998-06-24",3.1762,3.1815,3.1826,3.1745
"1986-11-13",3.2214,3.2244,3.2272,3.22
"1984-08-13",3.1748000000000003,3.1787,3.185,3.1726
"2005-07-22",2.9827,2.9827,2.9851,2.9804
"2003-06-30",2.8455,2.8455,2.8455,2.8455
"1995-06-12",3.3365,3.3369,3.3415,3.3342
"1990-03-06",3.3575,3.3647,3.3668,3.3554
"2001-07-02",3.0324,3.0324,3.0324,3.0324
"1994-06-16",3.3335,3.3328,3.3376,3.3316
"2005-09-13",2.9827,2.9827,2.9842,2.9785
"2008-07-15",3.0905,3.0905,3.0983,3.088
"1990-11-05",3.4413,3.432,3.444,3.4263
"1984-02-28",3.1714,3.1713,3.1791,3.1659
"1990-02-01",3.326,3.3267,3.3311,3.3146
"2005-07-15",2.9938,2.9938,2.9938,2.9938
"2002-09-27",2.8906,2.8906,2.8906,2.8906
"2000-10-31",3.082,3.082,3.082,3.082
"1980-05-28",3.0816,3.09,3.0905,3.0802
"1997-11-25",3.0731,3.0763,3.0775,3.0718
"1982-07-05",2.9046,2.9048,2.9103,2.903
"1983-05-20",2.9911,2.9923,2.9996,2.9887
"2002-08-30",2.9255,2.9255,2.9255,2.9255
"1998-07-17",3.1919,3.1884,3.1922,3.1837
"1993-05-12",3.2252,3.2197,3.2258,3.2161
"2000-02-14",3.4449,3.4449,3.4449,3.4449
"1984-04-13",3.1475,3.1484,3.1513,3.1423
"1994-11-24",3.3672,3.3677,3.3718,3.3654
"1982-05-26",2.9149000000000003,2.9276,2.9277,2.9084
"1982-08-02",2.8834,2.8803,2.8842,2.8767
"1995-05-15",3.3525,3.3567,3.3575,3.3519
"2009-06-05",3.2065,3.2065,3.213,3.2024
"1983-11-22",3.097,3.0958,3.1014,3.0926
"1981-02-25",2.9524,2.955,2.9567,2.949
"1982-09-20",2.8944,2.8943,2.8956,2.8913
"1994-12-16",3.3758,3.3706,3.377,3.3694
"1984-12-04",3.2404,3.2387,3.2416,3.2336
"2007-10-10",3.1098,3.1098,3.1214,3.1098
"1986-08-19",3.201,3.1995,3.2027,3.197
"2008-03-12",3.1763,3.1763,3.1825,3.1736
"2002-04-02",2.9604,2.9604,2.9604,2.9604
"1981-10-15",2.9123,2.9214,2.9242,2.9049
"1994-12-19",3.3733,3.3757,3.3774,3.3724
"1989-05-22",3.5746,3.5700000000000003,3.5769,3.5683
"2006-11-01",3.1379,3.1379,3.1425,3.1332
"1983-11-16",3.0798,3.0745,3.081,3.0732
"2001-10-15",2.9734,2.9734,2.9734,2.9734
"1998-01-08",3.0541,3.0566,3.0576,3.0535
"1998-04-14",3.1203000000000003,3.1196,3.1235,3.1193
"1996-03-29",3.0928,3.0989,3.0991,3.0888
"1992-10-29",3.3051,3.2933,3.3077,3.2931
"2012-10-12",3.1092,3.119,3.1196,3.107
"2008-09-30",3.0931,3.0931,3.0940000000000003,3.0847
"1996-06-19",3.1242,3.1117,3.1246,3.1105
"1985-11-19",3.2805,3.2766,3.2817,3.2739000000000003
"1983-10-20",3.0779,3.0786,3.0793,3.0692
"2003-09-23",2.8104,2.8104,2.8104,2.8104
"2005-06-29",2.9326,2.9326,2.9326,2.9326
"2001-08-27",3.023,3.023,3.023,3.023
"1981-02-26",2.9423,2.9519,2.9528,2.9391
"1982-06-02",2.9183,2.9229000000000003,2.9234,2.9156
"1987-01-28",3.2226,3.2298,3.2334,3.2197
"1984-02-29",3.1673,3.1719,3.1743,3.1668000000000003
"1986-07-07",3.2138,3.2168,3.2178,3.21
"2011-03-11",3.3437,3.3437,3.3439,3.3211
"1988-11-08",3.4808,3.4867,3.4923,3.48
"2002-07-09",2.9622,2.9622,2.9622,2.9622
"1996-10-02",3.0941,3.0616000000000003,3.0983,3.0541
"1989-12-15",3.2843,3.2671,3.2885,3.2558
"1981-07-16",2.8383000000000003,2.8452,2.8459,2.8374
"2006-07-24",3.165,3.165,3.1668000000000003,3.1565000000000003
"1983-09-26",3.0497,3.0412,3.0537,3.036
"2011-01-27",3.2824,3.2824,3.2874,3.2721
"2002-01-21",2.9419,2.9419,2.9419,2.9419
"1998-11-04",3.2059,3.2013,3.2084,3.2003
"1987-10-29",3.3003,3.3085,3.3106,3.298
"2007-10-16",3.0984,3.0984,3.1014,3.0945
"2002-06-21",2.9487,2.9487,2.9487,2.9487
"2006-03-14",3.0807,3.0807,3.0834,3.0779
"2012-09-27",3.1265,3.13,3.1307,3.1237
"2004-06-16",2.6658,2.6658,2.6658,2.6658
"1985-08-12",3.282,3.2738,3.283,3.2656
"1990-02-16",3.3147,3.2994000000000003,3.3161,3.2979000000000003
"1982-01-21",2.8569,2.8557,2.8615,2.85
"2001-12-25",2.9641,2.9641,2.9641,2.9641
"2003-04-14",2.8226,2.8226,2.8226,2.8226
"1984-05-18",3.0864000000000003,3.0871,3.0922,3.0848
"1987-03-17",3.2752,3.2814,3.2894,3.2729
"1996-12-05",3.1159,3.1209,3.1246,3.111
"2010-12-27",3.2054,3.2054,3.2102,3.2039
"1981-03-16",2.9234,2.9318,2.9338,2.9223
"1980-04-21",3.0425,3.0356,3.0429,3.0299
"2011-10-21",3.3897,3.3847,3.3927,3.3787000000000003
"2001-12-27",2.9527,2.9527,2.9527,2.9527
"1992-05-05",3.427,3.436,3.4371,3.4207
"1987-10-22",3.3199,3.315,3.3208,3.3138
"1989-05-29",3.5577,3.557,3.5633,3.5554
"1993-08-09",3.2875,3.2885,3.2914000000000003,3.2835
"1997-03-31",3.1147,3.1117,3.1149,3.1098
"1986-02-28",3.2679,3.2612,3.2692,3.2586
"2011-06-09",3.2555,3.2555,3.259,3.2412
"1997-07-14",3.1234,3.1232,3.1269,3.1211
"2006-12-25",3.1521,3.1521,3.1553,3.147
"1995-03-28",3.3602,3.3589,3.3626,3.3585000000000003
"1987-05-07",3.2651,3.2692,3.2698,3.2625
"2012-08-07",3.2225,3.2205,3.2225,3.2165
"1992-11-23",3.31,3.3104,3.3186,3.3091
"2005-10-28",3.0183,3.0183,3.0183,3.0154
"1991-06-10",3.2824,3.2846,3.2933,3.278
"1985-06-24",3.2151,3.2249,3.2264,3.2134
"1990-06-19",3.4303,3.4344,3.4362,3.4281
"2010-11-15",3.2115,3.2115,3.2163,3.2073
"2010-03-01",3.3339,3.3339,3.3585000000000003,3.3339
"1990-03-09",3.3634,3.3596,3.3664,3.3523
"2010-06-17",3.2275,3.2275,3.2387,3.2275
"1993-10-18",3.3228,3.323,3.331,3.3222
"1989-07-10",3.4266,3.4315,3.4481,3.4086
"1996-11-29",3.0888,3.0833,3.0915,3.0814
"1984-09-05",3.2263,3.2217,3.2277,3.2184
"1988-09-08",3.4619,3.4644,3.4707,3.4606
"1988-02-09",3.3572,3.3526,3.3595,3.3521
"2009-03-04",3.1944,3.1944,3.1951,3.1907
"1988-05-19",3.3744,3.3725,3.3773,3.3691
"2009-12-02",3.3169,3.3169,3.3303000000000003,3.3132
"1987-11-06",3.2936,3.2927,3.2959,3.2914000000000003
